algo,1,Algorithme,Un algorithme est une suite finie et non ambiguë d'instructions et d'opérations permettant de résoudre une classe de problèmes.,Wikipédia,,
algorithme,1,Algorithme,Séquence d’opérations permettant d’obtenir un résultat en fonction d’informations données en entrée. Ou encore un algorithme est une suite ordonnée d'instructions qui indique la démarche à suivre pour résoudre une série de problèmes équivalents.,Wikipédia - définition adaptée,,
algorithmique,1,Algorithmique,L'algorithmique est la science des algorithmes.,Le Robert + CNIL,,
argument,1,Argument,"Un argument est une valeur donnée en entrée d'une fonction pour être traitée. En Python, il est possible de nommer les arguments par des variables : def f(a=1).",Wikipédia,,
modulo,1,Arithmétique modulaire,"L'opération modulo (mod ou %) est l'opération qui retourne le reste d'une division. En Python, 15%4 (15 modulo 4) retourne 3.",Antonio Casilli,,
base,1,Base,La base d’un transistor est le “verrou” qui peut être ouvert ou fermé selon que l’on souhaite ou non qu’un courant électrique passe de l’émetteur au collecteur. ,linternaute.fr,,
biencommun,1,Bien commun,"Le bien commun est une notion développée d'abord par la théologie et la philosophie, puis saisie par le droit, les sciences sociales et invoquée par de nombreux acteurs politiques. Elle désigne l'idée d'un bien patrimonial partagé par les membres d'une communauté, au sens spirituel et moral du mot « bien », de même qu'au sens matériel et pratique (ce dont on dispose ou ce qu'on possède).",Yves Citton - définition adaptée,,
biencommuns,1,Biens communs,"Les communs ou biens communs sont des ressources matérielles ou immatérielles, publiques ou privées, dont nous décidons collectivement qu’elles doivent être accessibles et/ou gérées ""en commun, au service du bien commun"".
Les biens communs immatériels, également appelés biens communs de la connaissance ou biens communs informationnels, se caractérisent par leur non-rivalité, c'est-à-dire que leur utilisation ne les épuise pas ou n'en prive pas les autres utilisateurs. Le logiciel libre ou les données ouvertes sous licence copyleft figurent parmi les « biens communs » informationnels. ",Wikipédia,,
bit,1,Bit,"Un bit est un chiffre binaire (0 ou 1). C'est l'unité élémentaire d’information, à ne pas confondre avec le byte (paquet de 8 bits).","Wikipédia, Antonio Casilli",,
bouclewhile,1,Boucle tant que,"La boucle ""tant que"" continue de s'exécuter tant qu'une condition donnée à son initialisation continue d'être vraie.",,,
branchementcond,1,Branchement conditionnel,"Dans un algorithme, un branchement conditionnel est une instruction de test qui, en fonction du résultat du test, détermine quelle suite d'instruction réaliser parmi plusieurs options. L'embranchement le plus simple est conditionné avec un si/sinon avec 2 embranchement possibles, d'autres instructions conditionnelles peuvent offrir bien plus de possibilités de suite d'exécution.",Itsocial,,
byte,1,Byte,Un byte ou octet est une unité d'information composée de 8 bits. ex: 00110100.,-,,
capitalismedesurveillance,1,Capitalisme de surveillance,"Notion développée par la chercheuse Shoshana Zuboff. Selon elle, il s'agit nouvelle forme de capitalisme qui repose sur la surveillance des individus, notamment au travers de la collecte de leurs traces numériques, et qui vise à orienter leur comportements dans le but de générer des revenus. Le modèle économique de Google s'inscrit dans cette forme de capitalisme",Wikipédia,,
datacenter,1,Centre de données,Un centre de données est un lieu dans lequel des données sont stockées sur des serveurs. ,https://www.vie-publique.fr/fiches/270196-quest-ce-que-luberisation,,
circuit,1,Circuit logique,Un circuit logique est une combinaison de portes logiques.,,,
clientserveur,1,Client-Serveur,"Une structure client-serveur est un mode de transaction dans lequel un programme, qualifié de serveur joue le rôle d’un ou plusieurs guichets et se met à disposition d’un ou plusieur programmes clients qui vont initier une transaction comme s’ils se  présentaient au guichet.",,,
codage,1,Codage,Le codage d’une information est le procédé par lequel cette information est transformée pour être représentée sous la forme d’un code choisi. ,Wikipédia,,
codebinaire,1,Code binaire,"Un code binaire représente un texte, des instructions de processeur ou toute autre donnée utilisant un système à deux symboles. Les ""0"" et ""1"" sont le plus souvent utilisés dans le système de numération binaire.",Wikipédia,,
codesource,1,Code source,"Un code source est un code en langage de programmation qui sera, en fonction de son type (Python, Prolog, C, Ada...) soit compilé &/ou interprété ou exécuté pour obtenir un résultat.",,,
collecteur,1,Collecteur,Le collecteur d’un transistor est la “porte de sortie” à partir de laquelle le courant électrique “sort” du transistor. ,Wikipédia,,
compilateurs,1,Compilateur,"En informatique, un compilateur est un programme transformant un code source en un code objet. Généralement, le code source est écrit dans un langage de programmation (le langage source), de haut niveau d'abstraction, facilement compréhensible par l'humain. Le code objet est généralement écrit en langage de plus bas niveau (appelé langage cible), par exemple un langage d'assemblage ou langage machine, afin de créer un programme exécutable par une machine.",Wikipédia,,
conjonction,1,Conjonction,"En logique, la conjonction est équivalente au “et” dans le langage courant. Il “combine” un élément et un autre. ",Wikipédia,,
constante,1,Constante,"Une constante est un identificateur associée à une valeur fixe - définitive durant une exécution (mais qui peut être initialisée différement d'une exécution à l’autre), un peu comme une variable qui ne varie pas.",,,
cookie,1,Cookie,"Petit fichier installé sur le disque dur lors de la consultation d'un site web, qui permet au serveur de mémoriser des informations sur l'internaute et son comportement. Les cookies ont de multiples usages : ils peuvent servir à mémoriser un identifiant client auprès d'un site marchand, le contenu courant de votre panier d'achat, la langue d’affichage de la page web, un identifiant permettant de tracer votre navigation à des fins statistiques ou publicitaires, etc.",,,
couches,1,Couche physique,"La couche physique d’un ordinateur est composée de milliards de transistors qui, lorsqu’ils fonctionnent selon une logique préétablie, permettent de réaliser des opérations complexes. ",,,
crowdsourcing,1,Crowdsourcing,"Le crowdsourcing est l'utilisation du travail, de la créativité, de l'intelligence et du savoir-faire d'un grand nombre de personnes, en sous-traitance, pour réaliser certaines tâches traditionnellement effectuées par un employé ou un entrepreneur. ",,,
digitallabor,1,Digital labour,"Notion apparue à la fin des années 2000 qui désigne un ensemble d'activités effectuées via des plateformes numériques et qui permettent à celles-ci de générer de la valeur. Le sociologue Antonio Casilli distingue 3 formes de digital labour: 1) Le travail à la demande, soit les ""petits boulots"" des plateformes (chauffeur, livreur, etc.); 2) le micro-travail réalisé sur les plateformes ; 3) le travail effectué par les internautes.

Il peut s'agir de petites tâches faiblement rémunérées, comme en propose la plateforme Amazon Mechanical Turk, voire pas rémunérée du tout, si elle s'effectuent dans un contexte de loisirs (réseaux sociaux, etc.).",,,
disjonction,1,Disjonction,"En logique, la disjonction est équivalente au “ou” dans le langage courant. Il “alterne” entre un élément et un autre. ",,,
data,1,Données,Informations enregistrées,Wikipédia,,
economieechelle,1,Economie d'échelle,"Une économie d'échelle correspond à la diminution du coût de réalisation d'un produit obtenue après l'augmentation de la production de ce produit. Plus un produit est fabriqué, moins son coût unitaire est grand.",,,
